-58.047, -25.242, 87.421
-58.042, -25.142, 87.426
-58.037, -25.042, 87.431
-58.031, -24.942, 87.436
-58.025, -24.843, 87.441
-58.018, -24.743, 87.446
-58.011, -24.643, 87.451
-58.004, -24.543, 87.456
-57.996, -24.444, 87.462
-57.988, -24.344, 87.467
-57.98, -24.244, 87.472
-57.971, -24.145, 87.478
-57.961, -24.045, 87.484
-57.952, -23.946, 87.49
-57.941, -23.846, 87.495
-57.931, -23.747, 87.501
-57.92, -23.647, 87.507
-57.909, -23.548, 87.516
-57.897, -23.449, 87.523
-57.885, -23.349, 87.529
-57.872, -23.25, 87.535
-57.86, -23.151, 87.541
-57.846, -23.052, 87.548
-57.833, -22.953, 87.554
-57.819, -22.854, 87.561
-57.804, -22.755, 87.567
-57.789, -22.656, 87.574
-57.774, -22.557, 87.58
-57.758, -22.458, 87.587
-57.742, -22.36, 87.594
-57.726, -22.261, 87.601
-57.709, -22.162, 87.611
-57.692, -22.064, 87.618
-57.675, -21.965, 87.625
-57.657, -21.867, 87.631
-57.638, -21.769, 87.638
-57.62, -21.671, 87.645
-57.6, -21.572, 87.652
-57.581, -21.474, 87.659
-57.561, -21.376, 87.666
-57.541, -21.278, 87.673
-57.52, -21.181, 87.68
-57.499, -21.083, 87.687
-57.478, -20.985, 87.695
-57.456, -20.887, 87.705
-57.434, -20.79, 87.712
-57.411, -20.693, 87.719
-57.388, -20.595, 87.726
-57.365, -20.498, 87.734
-57.341, -20.401, 87.741
-57.317, -20.304, 87.748
-57.293, -20.207, 87.755
-57.268, -20.11, 87.762
-57.243, -20.013, 87.769
-57.217, -19.916, 87.776
-57.191, -19.82, 87.786
-57.165, -19.723, 87.793
-57.138, -19.627, 87.8
-57.111, -19.531, 87.807
-57.084, -19.435, 87.814
-57.056, -19.339, 87.821
-57.028, -19.243, 87.828
-56.999, -19.147, 87.835
-56.971, -19.051, 87.842
-56.941, -18.955, 87.849
-56.912, -18.86, 87.856
-56.882, -18.764, 87.862
-56.851, -18.669, 87.872
-56.82, -18.574, 87.879
-56.789, -18.479, 87.886
-56.758, -18.384, 87.892
-56.726, -18.289, 87.899
-56.694, -18.195, 87.905
-56.661, -18.1, 87.912
-56.628, -18.006, 87.918
-56.595, -17.911, 87.925
-56.561, -17.817, 87.931
-56.527, -17.723, 87.94
-56.493, -17.629, 87.946
-56.458, -17.536, 87.953
-56.423, -17.442, 87.959
-56.388, -17.348, 87.965
-56.352, -17.255, 87.971
-56.316, -17.162, 87.977
-56.279, -17.069, 87.982
-56.242, -16.976, 87.988
-56.205, -16.883, 87.994
-56.167, -16.79, 88
-56.129, -16.698, 88.008
-56.091, -16.605, 87.981
-56.052, -16.513, 87.836
-56.013, -16.421, 87.691
-55.974, -16.329, 87.547
-55.934, -16.237, 87.401
-55.894, -16.146, 87.256
-55.854, -16.054, 87.11
-55.813, -15.963, 86.964
-55.772, -15.872, 86.818
-55.731, -15.781, 86.672
-55.689, -15.69, 86.525
-55.647, -15.599, 86.378
-55.604, -15.509, 86.231
-55.562, -15.418, 86.084
-55.518, -15.328, 85.936
-55.475, -15.238, 85.788
-55.431, -15.148, 85.64
-55.387, -15.058, 85.491
