-59.871, 2.42, 77.82
-59.853, 2.321, 78.202
-59.836, 2.223, 78.763
-59.82, 2.124, 79.128
-59.804, 2.025, 79.664
-59.789, 1.926, 80.013
-59.775, 1.827, 80.526
-59.761, 1.728, 80.859
-59.748, 1.629, 81.349
-59.735, 1.53, 81.668
-59.723, 1.431, 81.589
-59.711, 1.331, 81.435
-59.7, 1.232, 81.28
-59.69, 1.133, 81.125
-59.68, 1.033, 80.969
-59.67, 0.934, 80.813
-59.661, 0.834, 80.657
-59.652, 0.734, 80.501
-59.644, 0.635, 80.344
-59.637, 0.535, 80.187
-59.629, 0.435, 80.03
-59.623, 0.335, 79.872
-59.616, 0.236, 79.714
-59.61, 0.136, 79.556
-59.605, 0.036, 79.398
-59.6, -0.064, 79.239
-59.595, -0.164, 79.08
-59.591, -0.264, 78.92
-59.587, -0.364, 78.76
-59.583, -0.464, 78.6
-59.58, -0.563, 78.44
-59.577, -0.663, 78.279
-59.575, -0.763, 78.118
-59.573, -0.863, 77.956
-59.571, -0.963, 77.795
-59.57, -1.063, 77.632
-59.569, -1.163, 77.47
-59.568, -1.263, 77.307
-59.567, -1.363, 77.144
-59.567, -1.463, 76.98
-59.567, -1.563, 76.817
-59.568, -1.663, 76.652
-59.569, -1.763, 76.488
-59.57, -1.863, 76.323
-59.571, -1.963, 76.158
-59.573, -2.063, 75.992
-59.575, -2.163, 75.826
-59.577, -2.263, 75.66
-59.579, -2.363, 75.493
-59.582, -2.463, 75.326
-59.585, -2.563, 75.158
-59.588, -2.663, 74.991
-59.591, -2.763, 74.822
-59.595, -2.863, 74.654
-59.599, -2.963, 74.485
-59.603, -3.063, 74.315
-59.608, -3.163, 74.146
-59.612, -3.263, 73.976
-59.617, -3.362, 73.805
-59.622, -3.462, 73.634
-59.627, -3.562, 73.463
-59.633, -3.662, 73.291
-59.638, -3.762, 73.119
-59.644, -3.862, 72.947
-59.65, -3.962, 72.774
-59.657, -4.061, 72.6
-59.663, -4.161, 72.426
-59.67, -4.261, 72.252
-59.677, -4.361, 72.078
-59.684, -4.46, 71.903
-59.691, -4.56, 71.727
-59.698, -4.66, 71.551
-59.706, -4.76, 71.375
-59.713, -4.859, 71.198
-59.721, -4.959, 71.021
-59.729, -5.059, 70.843
-59.738, -5.158, 70.665
-59.746, -5.258, 70.487
-59.754, -5.358, 70.308
-59.763, -5.457, 70.128
-59.772, -5.557, 69.949
-59.781, -5.656, 69.768
-59.79, -5.756, 69.587
-59.799, -5.856, 69.406
-59.808, -5.955, 69.224
-59.818, -6.055, 69.042
-59.828, -6.154, 68.859
-59.837, -6.254, 68.676
-59.847, -6.353, 68.492
-59.857, -6.453, 68.308
-59.867, -6.552, 68.123
-59.877, -6.652, 67.938
-59.888, -6.751, 67.752
-59.898, -6.851, 67.566
-59.909, -6.95, 67.379
-59.92, -7.05, 67.192
-59.93, -7.149, 67.004
-59.941, -7.248, 66.816
-59.952, -7.348, 66.627
-59.963, -7.447, 66.438
-59.975, -7.547, 66.248
-59.986, -7.646, 66.057
